scientifique 	scientific	 scientist
embellir 	embellish
tonsure 	tonsure
acidité 	acidness	 acidity
cherokee 	Cherokee
antitrust 	antitrust
sumo 	sumo
crypte 	crypt	 vault
maraudeur 	marauder
eskimo 	Eskimo
alberta 	Alberta
réconciliation 	reconciliation
coup 	stroke	 knock	 coup	 gale	 blow	 move
script 	script
darmstadtium 	darmstadtium
oral 	oral
équivalent 	equivalent	 worth
diode 	diode
farandole 	farandole
respectablement 	respectably
insolubilité 	insolubility
sappho 	Sappho
octant 	Octans
audio 	audio
communication 	communication
toucher 	feel	 touch	 meet	 contact
steppe 	steppe
reformulation 	reformulation
éviction 	eviction
parking 	parking	 car park
cuisine 	cuisine	 kitchen
rhodium 	rhodium
unbiunium 	unbiunium
bélarus 	Belarus
pigeon 	pigeon	 mug
confirmer 	confirm
crocus 	crocus
excentricité 	eccentricity
héraklion 	Iraklion
marinade 	marinade
unicode 	Unicode
misandrie 	misandry
arabisation 	Arabisation
osso buco 	osso buco
esprit de corps 	esprit de corps
illicite 	illicit
sri jayawardenapura 	Sri Jayawardenepura Kotte
procurer 	procure
stigma 	stigma
commonwealth d’australie 	Commonwealth of Australia
barre 	helm	 barre	 slot	 bar
guitariste 	guitarist
ductile 	ductile
hyperbolique 	hyperbolic
configurer 	configure
a cappella 	a cappella
sarcasme 	sarcasm	 taunt
chignon 	bun	 chignon
noria 	noria
modalité 	modality
dubnium 	dubnium
krasnoïarsk 	Krasnoyarsk
inhibition 	inhibition
relative 	relative
vermont 	Vermont
stigmatisé 	stigmatized	 stigmatic
bridge 	bridge
proto-dravidien 	Proto-Dravidian
microcosmique 	microcosmic
internationale 	Internationale
mantou 	mantou
jharkhand 	Jharkhand
gneiss 	gneiss
défragmentation 	defragmentation
gastromancie 	gastromancy
penjab 	Punjab
albion 	Albion
standing ovation 	standing ovation
réminiscence 	reminiscence
digestion 	digestion
vocifération 	vociferation
constructivisme 	constructivism
guide 	guide	 cynosure	 guide book
excessif 	extreme	 excessive
élasticité 	elasticity
bulbe 	bulb
gabriel 	Gabriel
satrape 	satrap
avalanche 	avalanche
mantra 	mantra
sub- 	sub-
kowtow 	kowtow
hercule 	Hercules
eucharistique 	eucharistical	 eucharistic
phnom penh 	Phnom Penh
aguascalientes 	Aguascalientes
lesotho 	Lesotho
figure 	face	 figure
toxicologie 	toxicology
flageolet 	flageolet
mésoderme 	mesoderm
tutu 	tutu
liberalisme 	liberalism
association 	association
relation 	relationship	 relation
honolulu 	Honolulu
optimiste 	optimist	 optimistic
dolomites 	Dolomites
ambulance 	ambulance
panorama 	panorama
accent 	emphasis	 accent
bioressource 	bioresource
yiddish 	Yiddish
tatar 	Tatar
-agogue 	-agogue
béryllium 	beryllium
pardonnable 	pardonable
damas 	damson	 damask
baser 	base
waqf 	waqf
asunción 	Asunción
climatologiste 	climatologist
implicite 	implicit
béa 	Bea
coloniser 	colonize	 settle	 colonise
entomologiste 	entomologist
lithuanienne 	Lithuanian
réunion 	Réunion
masturbateur 	masturbator
saône 	Saône
atlantide 	Atlantis
steak 	steak
cataloguer 	catalogue	 brand
fructidor 	Fructidor
watt 	watt
safari 	safari
apatite 	apatite
islam 	Islam
quisling 	quisling
cholestérol 	cholesterol
salomon 	Solomon
cardigan 	cardigan
scrotal 	scrotal
bulle 	bubble	 bull
concordant 	concordant
prestigieux 	prestigious
orchestre 	orchestra
immoral 	immoral	 wrong
criminologie 	criminology
boom 	boom
trench-coat 	trench coat
initiale 	initial
onyx 	onyx
intelligence 	brightness	 intelligence
quechua 	Quechua
apoapside 	apoapsis
aspect 	semelfactive	 aspect	 semelfactive aspect
spamdexing 	spamdexing
vitebsk 	Vitebsk
victimer 	victimize
rival 	rival
refrain 	refrain
aviation 	aviation
maxi- 	maxi-
israël 	Israel
touriste 	tourist
hypertexte 	hyperlink	 link	 hypertext
nigerien 	Nigerien
bikini 	bikini
ciborium 	ciborium
manuel 	manual	 textbook	 handbook
authenticité 	authenticity
décomposition 	decomposition
inceste 	incest
quaternion 	quaternion
activité 	activity
lingua franca 	lingua franca
ornithologique 	ornithological
controverse 	controversy	 issue
micropénis 	micropenis
synchrotron 	synchrotron
aubergine 	eggplant	 aubergine
unbibium 	unbibium
biceps 	biceps
oh non 	oh no
sandale 	sandal
sexiste 	sexist
sandhi 	sandhi
calcium 	calcium
normatif 	normative
grandiloquent 	grandiloquent
lance 	lance
importante 	important
intransitif 	neuter	 intransitive
canyon 	canyon
adrénaline 	adrenaline
liberté 	liberty	 freedom
photographier 	photograph
pointer 	point	 hyperlink	 link	 train	 finger
hagiographique 	hagiographic
masturbation 	masturbation
labiodental 	labiodental
californien 	Californian
lesbianisme 	lesbianism
transitif 	transitive
monogrammer 	monogram
dramatisation 	dramatization
calcite 	calcite
épouse 	wife	 spouse
traverser 	traverse	 cross
chalet 	chalet
biotechnologie 	biotechnology
trichobézoard 	trichobezoar
contribuer 	contribute
euro 	euro
abjad 	abjad
type 	data type	 sort	 bloke	 covey	 fellow	 of that ilk	 type	 devil
ornemental 	ornamental
démonstration 	demo	 demonstration
tourisme 	tourism	 sightseeing
militarisme 	militarism
afghan 	Afghan
primate 	primate
diminutif 	diminutive
kleptomanie 	kleptomania
atrium 	atrium
incohérent 	incoherent
tel aviv 	Tel Aviv
arsenic 	arsenic
roller derby 	roller derby
proverbe 	saying	 proverb	 saw
bonsaï 	bonsai
altruiste 	altruistic
typo 	typo
bromate 	bromate
mythologie 	mythology
résistance 	resistance	 underground
berlin 	Berlin
lamia 	lamia
propension 	propensity
arapaho 	Arapaho
floréal 	Floréal
politicide 	politicide
infirmer 	infirm
spectral 	eerie	 spectral
paronyme 	paronym
métaphore 	metaphor
annuel 	annual	 yearly
communicateur 	communicator
catalogue 	catalogue
adige 	Adige
politicien 	politician
challenge 	challenge
sara 	Sarah
cordiérite 	cordierite
pliable 	collapsible	 pliable
seychelloise 	Seychellois
putréfaction 	putrefaction
hara-kiri 	hara-kiri
communicable 	communicable
rhinocéros 	rhinoceros
goy 	goy
chlorose 	chlorosis
nationaliser 	nationalize
zimbabwe 	Zimbabwe
molinologie 	molinology
oxford 	Oxford
dose 	fix	 dose
moraine 	moraine
fisting 	fisting
autonyme 	autonym
malawi 	Malawi
slasher 	slasher
saul 	Saul
scandale 	scandal
désinformation 	disinformation
pélargonium 	pelargonium
norme 	norm
complicité 	connection	 complicity
samara 	Samara
syrien 	Syrian
syzygie 	syzygy
lampe 	lamp	 light bulb
architecte 	architect
valentine 	Valentina
bogota 	Bogota
glucose 	glucose
sentinelle 	sentinel
perestroïka 	perestroika
marchandise 	merchandise	 goods
matera 	Matera
rachel 	Rachel
lamia 	Lamia
objectif 	objective	 goal
ballaster 	ballast
bergamote 	bergamot
transport 	transport
gastro- 	gastro-
compatriote 	compatriot
spécification 	specification
controversé 	controversial	 contentious
objecter 	object
alsace 	Alsace
magna carta 	Magna Carta
pathologie 	pathology
covariance 	covariance
gym 	gym
swing 	swing
bichonne 	bichon
zircon 	jargoon	 zircon	 jargon
chiton 	chiton
croate 	Croatian	 Croat
shampooing 	shampoo
tibet 	Tibet
python 	Python
torche 	torch	 link	 firebrand
sexisme 	sexism
messianique 	messianic
grenade 	Grenada	 Granada
toxine 	toxin
évacuation 	evacuation
goa 	Goa
rivet 	rivet
spiritisme 	Spiritism
flexitarisme 	flexitarianism
holmium 	holmium
dopamine 	dopamine
cryptanalyste 	cryptanalyst
mechanisme 	action	 mechanism
taekwondo 	taekwondo
laos 	Laos
chinchilla 	chinchilla
sage 	sage	 wise
superficiel 	superficial	 shallow
nauruan 	Nauruan
monégasque 	Monégasque
financer 	finance	 fund
applicatif 	applicative
transfert 	transfer
appelant 	appellant
réactivation 	reactivation
oblast 	oblast
quintuple 	quintuple
split 	Split
pervers 	pervert
noter 	mark	 pick up	 note
arcadien 	Arcadian
roentgenium 	roentgenium
long 	lengthy	 long
enchanté 	how do you do	 pleased to meet you	 enchanted
mont everest 	Mount Everest
australien 	Australian
limitable 	limitable
oukase 	ukase
quintuplé 	quintuplet
bisexuel 	bisexual
dignité 	dignity
judo 	judo
stratagème 	stratagem
dodo 	beddy-bye	 bye-bye	 dodo
orchidée 	orchid
asynchrone 	asynchronous
toxoplasmose 	toxoplasmosis
xénophobie 	xenophobia
californie 	California
cognac 	cognac	 brandy
en vain 	in vain
texte 	text
texto 	literally	 text	 verbatim	 text message	 SMS
pessimisme 	pessimism
oneirologiste 	oneirologist
éléphantine 	elephantine
playboy 	playboy
dope 	dope
quenya 	Quenya
organisation 	organization	 underground
tresse 	pigtail	 tress
route 	route	 track	 road
arizona 	Arizona
destin 	lot	 destiny	 fate
cousin 	cousin	 cranefly	 cross-cousin
chimpanzé 	chimpanzee
fatigue 	fatigue
scooter 	scooter
contexte 	context
mâche 	corn salad	 mâche
vanille 	vanilla
minerve 	Minerva
microscope 	microscope
sexualisme 	sexualism
schistosomiase 	schistosomiasis
continent 	mainland	 continent
cosmogonie 	cosmogony
balkans 	Balkans
philippines 	Philippines
sensationnalisme 	sensationalism
occulte 	occult
rassurer 	reassure	 assure
viable 	sustainable	 viable
etc. 	et cetera	 etc.
perfectif 	perfective
bulldozer 	bulldozer
messine 	Messina
synapse 	synapse
redéfinition 	redefinition
iso- 	iso-
paletot 	paletot	 greatcoat
dijon 	Dijon
topographique 	topographic
socialisation 	socialization
anachronisme 	anachronism
navarre 	Navarre
cycloalcane 	cycloalkane
provençal 	Provençal
n-dimensionnel 	n-dimensional
punk 	punk
front 	forehead	 front
piston 	piston
topaze 	topaz
iran 	Iran
arsenal 	magazine	 arsenal
lesbos 	Lesbos
esther 	Esther
hub 	hub
iraq 	Iraq
ambigramme 	ambigram
permissif 	permissive	 lenient
hippocrate 	Hippocrates
puma 	puma	 mountain lion
drainer 	drain
altruisme 	altruism
impression 	impression	 feeling
pune 	Pune
alternatif 	alternating	 fringe
confessional 	confessional chair
cymbales 	cymbal
pythiade 	pythiad
arquebusier 	arquebusier
institution 	institution
sarcophage 	sarcophagus
microbe 	microbe
dilemme 	dilemma
hun 	Hun
catadrome 	catadromous
cyano- 	cyano-
éthanol 	ethanol
apostate 	apostate
interaction 	interaction
adulte 	adult
niger 	Niger
cytoplasme 	cytoplasm
méga-ohm 	mega-ohm
contact 	contact
ophtalmologiste 	ophthalmologist
helleno- 	Helleno-
logo 	logo	 logotype	 bug
privation 	privation
algorithmique 	algorithmic
curriculum vitæ 	curriculum vitae
interprète 	interpreter
nihiliste 	nihilist
vidéo jockey 	video jockey
clito 	clit
fjord 	fiord	 fjord
tyrosine 	tyrosine
phosphorescent 	phosphorescent
valentin 	Valentine
unification 	unification
pistil 	pistil
léonard 	Leonard
sainte 	hallow	 saint
dramaturgie 	dramaturgy
télétsunami 	teletsunami
magistrat 	magistrate
importance 	significance	 importance	 concern
jersey 	Jersey
yard 	yard
lobe 	ear lobe	 lobe
bioélectricité 	bioelectricity
cormoran 	cormorant	 shag
argo 	Argo
thanatos 	Thanatos
peugeot 	Peugeot
urgent 	urgent	 bad
onanisme 	onanism	 masturbation
inéluctable 	inescapable	 ineluctable
chance 	luck	 chance	 serendipity
mýkonos 	Mykonos
enzyme 	enzyme
capitole 	Capitol	 capitol
tigresse 	tigress
murmurer 	babble	 murmur
hermine 	ermine
visiter 	call	 visit
footballeur 	soccer player	 footballer
quadrige 	quadriga
liechtenstein 	Liechtenstein
minaret 	minaret
rétroflexe 	retroflex
rébellion 	rebellion
orion 	Orion
spectaculaire 	spectacular
gouger 	gouge
europe 	Europa	 Europe
capital 	capital
institutionnalisme 	institutionalism
mentionner 	mention
fan 	fan
rural 	rural
confrontation 	confrontation
obscur 	dark	 obscure
frauduleux 	phoney	 fraudulent
électricité 	power	 electricity
occasion 	opportunity	 occasion	 secondhand	 pawn
ethnocentrique 	ethnocentric
salvador 	El Salvador
lagos 	Lagos
rubidium 	rubidium
pastille 	pastille
cardioïde 	cardioid
fonte 	font	 smelting
hétérosexualité 	heterosexuality
hémoglobine 	hemoglobin
distributif 	distributive
interactivité 	interactivity
laryngologique 	laryngological
carbinolamine 	carbinolamine
proxima du centaure 	Proxima Centauri
brandade 	brandade
judith 	Judith
oligarchie 	oligarchy
copernicium 	copernicium
afrikaans 	Afrikaans
abricot 	apricot
timonisation 	Timonization
charlemagne 	Charlemagne
guilde 	guild
codicille 	codicil
pilote 	flyer	 pilot	 driver
passeport 	passport
club 	club
marius 	Marius
tragicomique 	tragicomic	 tragicomical
fable 	fable
occupation 	occupation
séquoia 	sequoia
macrocosmique 	macrocosmic
aspiration 	aspiration
penny 	penny
résistant 	resistant	 resilient
habitante 	inhabitant
ducal 	ducal
ducat 	ducat
interface 	interface
fait accompli 	fait accompli
sperme 	seed	 semen	 sperm
triceps 	triceps
eurasie 	Eurasia
comitologie 	comitology
affront 	affront
deutsche mark 	Deutsche Mark
gorger 	gorge
sentiment 	sentiment	 feeling
bbc 	BBC
hectowatt 	hectowatt
mercurielle 	mercurial
topographe 	topographer
hospice 	hospice
entomologie 	entomology
pidgin 	pidgin
excuser 	excuse
formose 	Formosa
sensationnel 	sensational
welter 	welter
cosmopolite 	cosmopolite
randomiser 	randomise
polyptote 	polyptoton
liverpool 	Liverpool
mortel 	mortal	 lethal	 deadly	 wicked
barbadien 	Barbadian
nostalgie 	homesickness	 nostalgia	 longing
friseur 	friseur
orange 	orange
gabon 	Gabon
kazakhe 	Kazakh
extraction 	extraction
morphisme 	morphism
-ible 	-ible
ununennium 	ununennium
thylacine 	thylacine
turku 	Turku
exporter 	export	 upload
chloroforme 	chloroform
bobby 	bobby
question 	question
multiple 	multiple
sternum 	sternum
discographie 	discography
ferry 	ferry
ninja 	ninja
c++ 	C++
rutherfordium 	rutherfordium
agritourisme 	agritourism
uhlan 	uhlan
emmanuel 	Immanuel	 Emmanuel
sacrifice 	sacrifice
expirer 	expire	 breathe
ouzo 	ouzo
parallélogramme 	parallelogram
gujarati 	Gujarati
venise 	Venice
axone 	axon
propagande 	propaganda
genu valgum 	genu valgum
congénital 	congenital
poisoneux 	poisonous
pneumatique 	pneumatics	 tyre	 tire	 pneumatic
indiscrétion 	indiscretion
organe 	organ	 part
toccata 	toccata
opossum 	opossum
reflux 	ebb	 reflux
turin 	Turin
masochisme 	masochism
ali 	Ali
canton 	Guangzhou	 Canton
dichotomie 	dichotomy
masochiste 	masochist
utilisation 	utilization
thermostat 	thermostat
brillant 	glossy	 bright	 shining	 brilliant
shimmy 	shimmy
isotope 	isotopic	 isotope
résistivité 	resistivity
olfaction 	olfaction
quinine 	quinine	 Jesuit's bark
genealogiste 	genealogist
nice 	Nice
transitivité 	transitivity
sahara 	Sahara
dentiste 	dentist
persuader 	persuade
blog 	blog
florence 	Florence
adolescent 	adolescent	 teenager	 juvenile
leader 	leader
équatorial 	equatorial
tradition 	tradition
khartoum 	Khartoum
cameroun 	Cameroon
bloc 	pad	 chunk	 block
pauser 	pause
iceberg 	iceberg
caviar 	caviar
montevideo 	Montevideo
officiel 	official
aggression 	aggression
austral 	austral	 south
camping 	camping	 campsite
tricycliste 	tricyclist
hypertextuel 	hypertextual
walkman 	walkman
centrifugeuse 	centrifuge
bangkok 	Bangkok
perfectionniste 	perfectionist
milliampère 	milliampere
colossal 	colossal
apartheid 	apartheid
implant 	implant
impoli 	rude	 impolite
intervention 	intervention
achille 	Achilles
nouveau riche 	nouveau riche
banjo 	banjo
kannada 	Kannada
violette 	violet
vampire 	vampire
syllogisme 	syllogism
acolyte 	acolyte
breton 	Breton
invariable 	invariable
agate 	agate
obsolescence 	obsolescence
magnolia 	magnolia
postal 	postal
bracelet 	bracelet
étymon 	etymon
fondamentalisme 	fundamentalism
cytosine 	cytosine
gel 	gel
métabolisme 	metabolism
oneirologie 	oneirology
acronyme 	acronym
indiana 	Indiana
salmonellose 	salmonellosis
discipline 	subject	 discipline
connaisseur 	connoisseur
apiol 	apiol
svastika 	swastika
auriculaire 	auricular	 little finger
fusiforme 	fusiform
péricycle 	pericycle
transnistrie 	Transnistria
vélodrome 	velodrome
miniaturisation 	miniaturization
confiner 	constrain	 confine
dune 	dune
lactose 	lactose
négligent 	negligent	 derelict
hémiaminal 	hemiaminal
central 	central
flexible 	resilient	 flexible
gay 	queer	 gay
poster 	poster
bondage 	bondage
bandy 	bandy
ayatollah 	ayatollah
sakhaline 	Sakhalin
sonnet 	sonnet
talent 	flair	 talent	 knack
barcelone 	Barcelona
munitions 	ammunition
vitrine 	shop window	 case	 vitrine
résilience 	resilience
typographique 	typographic
jude 	Jude
prion 	prion
afro-eurasie 	Afro-Eurasia
juda 	Judah
turbot 	turbot
bételgeuse 	Betelgeuse
ovin 	ovine
abjecte 	abject
volcanologie 	volcanology
brumaire 	Brumaire
machine 	John Doe	 what's-his-name	 machine
encéphalopathie spongiforme transmissible 	transmissible spongiform encephalopathy
aérolite 	aerolite
gabrielle 	Gabriela
interrogateur 	interrogator
accessible 	accessible
édition 	edition
transcontinental 	transcontinental
intercalation 	intercalation
doyen 	dean	 doyen
botswana 	Botswana
addictif 	addictive
désassembler 	disassemble
danger 	danger	 jeopardy	 hazard
pyrimidine 	pyrimidine
inflammation 	inflammation
milan 	Milan
pharynx 	pharynx
décoration 	decoration
almanach 	almanac
germaniste 	Germanist
pentagone 	Pentagon
angle 	pitch	 angle
spéculation 	speculation
saturation 	saturation
bégonia 	begonia
répercussion 	repercussion
tcherkessk 	Cherkessk
miti 	MITI
charger 	lade	 charge	 load	 commission
glacier 	glacier
photophore 	photophore
actinium 	actinium
explosion 	explosion
pélican 	pelican
coïncidence 	coincidence
robert 	Robert
abus 	abuse
stomate 	stoma
affinité 	affinity
photographe 	photographer
bosnie 	Bosnia
shawarma 	shawarma
stagflation 	stagflation
prairial 	Prairial
clic 	click
malien 	Malian
distinct 	discrete	 distinct
bioclimatologie 	bioclimatology
judoka 	judoka
fellation 	fellatio	 blowjob
information 	information
ethnocentrisme 	ethnocentrism
urbanité 	urbanity
meuse 	Meuse
clown 	clown
perfectionnisme 	perfectionism
gibraltarien 	Gibraltarian
belize 	Belize
actinomorphe 	actinomorphous	 actinomorphic
microprocesseur 	microprocessor
london 	London
héritage 	heritage	 legacy
prescrire 	prescribe
babylone 	Babylon
assister 	attend	 assist
istrie 	Istria
appréciable 	appreciable
phraser 	phrase
paramaribo 	Paramaribo
gallate 	gallate
ascendant 	antecedent	 ascendancy
googler 	google
funambuler 	funambulate
jupiter 	Jupiter
victime 	victim	 casualty
amiens 	Amiens
ataxie 	ataxia
montage 	montage
polyandrie 	polyandry
bon voyage 	bon voyage
imam 	imam
duel 	dual	 affront	 duel
profit 	profit
turban 	turban
fluide 	fluid	 supercritical fluid
tartane 	tartan
familier 	familiar	 colloquial
trident 	trident
inclure 	encompass	 include
sitcom 	sitcom
fragmenter 	fragment
protestantisme 	Protestantism
exister 	exist
timide 	shy	 timid
parade 	parade
optimisme 	optimism
animation 	animation	 hustle and bustle
lusaka 	Lusaka
mandoline 	mandolin
quartile 	quartile
miraculeux 	miraculous
rabelaisien 	Rabelaisian
sophocle 	Sophocles
bergen 	Bergen
public 	audience	 public
zéphyr 	zephyr
dildo 	dildo
pagode 	pagoda
apache 	Apache
coca 	coke	 Coke	 coca
boycotter 	boycott
sensorimoteur 	sensorimotor
humanoïde 	humanoid
varsovien 	Varsovian
sacrum 	sacrum
bile 	bile
proactif 	proactive
mayotte 	Mayotte
uvula 	uvula
récursivité 	recursivity
estomac 	stomach
cyclades 	Cyclades
offset 	offset
sodomiste 	sodomist
masculiniser 	masculinize
ethnocentriste 	ethnocentric
psychiatre 	psychiatrist
spirituelle 	spiritual
phobie 	phobia
historienne 	historian
samos 	Samos
karachi 	Karachi
totalité 	whole	 totality
tissu 	cloth	 weave	 tissue
helsinki 	Helsinki
optimiser 	optimize
abstraction 	abstraction
hentai 	hentai
sogdiane 	Sogdiana
isolationnisme 	isolationism
quiz 	quiz
braconide 	braconid
portion 	serving	 portion
hyperhidrose 	hyperhidrosis
daltonisme 	daltonism
ostende 	Ostend
métachronisme 	metachronism
svalbard 	Svalbard
defect 	defect
yacht 	yacht
panaji 	Panaji
intense 	intense
table de multiplication 	multiplication table
irrésistible 	irresistible
millet 	millet
tanzanien 	Tanzanian
rétrovirus 	retrovirus
rachitisme 	rachitis
misologie 	misology
new york 	New York City	 New York
orthogonal 	orthogonal
glaucome 	glaucoma
parano 	paranoid
prestidigitation 	prestidigitation
syntacticien 	syntactician
dysprosium 	dysprosium
palladium 	palladium
phénylalanine 	phenylalanine
database 	database
potentat 	potentate
supporteuse 	supporter
mollah 	mullah
cool 	cool
nacre 	nacre	 mother-of-pearl
mira 	Mira
phycologie 	phycology
virilité 	manhood	 virility
kyrie 	kyrie
duchesse 	duchess
sacral 	sacral
humanitarisme 	humanitarianism
khabarovsk 	Khabarovsk
isernia 	Isernia
sievert 	sievert
plumage 	plumage
dribble 	dribble
pentagone 	pentagon
spaghetti 	spaghetti
protestant 	Protestant
hypnotisme 	hypnotism
quadrilatère 	quadrilateral
scribe 	scribe
brioche 	brioche
neutron 	neutron
campanie 	Campania
nanotechnologie 	nanotechnology
auschwitz 	Auschwitz
balrog 	balrog
hassium 	hassium
tatarstan 	Tatarstan
sodomiser 	sodomize	 sodomise
vanadinite 	vanadinite
domaine 	farm	 realm	 domain	 lordship
accompli 	accomplished	 ripe	 completed
bandage 	bandage
hermaphrodite 	epicene	 hermaphrodite
freelance 	freelance
sanaa 	Sanaa
unix 	Unix
limonade 	lemonade
simien 	simian
anisotrope 	anisotropic
hallucinogène 	hallucinogenic
tampon 	buffer	 tampon	 wad
vérifiable 	verifiable
critique 	critical	 critique	 criticism	 review
électromagnétisme 	electromagnetism
cactus 	cactus
thrombus 	thrombus
parquet 	parquet
neurone 	neuron
cleptomanie 	kleptomania
herbicide 	herbicide
cérium 	cerium
vivisection 	vivisection
prato 	Prato
disjonction 	disjunction
agnosticisme 	agnosticism
coke 	coke
ceylan 	Ceylon
diagonale 	diagonal
suite 	series	 sequence	 string	 sequel	 suite
ravin 	ravine
alanine 	alanine
substantiver 	substantivise	 nominalize
solution 	answer	 settlement	 solution
australie 	Australia
cos 	Cos
secrétariat 	secretariat
scrotum 	scrotum
gaza 	Gaza
habitant 	citizen	 -er	 Wisconsinite	 denizen	 inhabitant
neurotransmission 	neurotransmission
insignifiante 	insignificant
émulsion 	emulsion
buenos aires 	Buenos Aires
jeannette 	Jeannette
faq 	FAQ
unicolore 	unicolor
charité 	charity
conflagration 	conflagration
palestinien 	Palestinian
jalalabad 	Jalalabad
seismographe 	seismograph
médiocre 	mediocre	 marginal
olympie 	Olympia
gangue 	gangue
expression 	expression	 term	 phrase	 utterance
hezbollah 	Hezbollah
shish taouk 	shish taouk
vidéocassette 	videocassette
chlamydia 	chlamydia
qatari 	Qatari
prolepse 	prolepsis
xylologie 	xylology
gallicisme 	Gallicism
zigzag 	zigzag
selenologiste 	selenologist
idole 	god	 idol
consentement 	consent
paris 	Paris
caucasien 	Caucasian
appendice 	appendix
transfini 	transfinite
sketch 	sketch
quadrupède 	quadruped
abdomen 	abdomen
nadir 	nadir
escalator 	escalator
acclimater 	acclimate	 acclimatize
rouen 	Rouen
pharmacie 	pharmacy	 apothecary
calligraphique 	calligraphic
laser 	laser
cherokee 	Cherokee
baked beans 	baked beans
fennec 	fennec
tanzanie 	Tanzania
dividende 	dividend
gravité 	gravity
juste 	just	 proper	 right	 fair	 reasonable
hydrogénation 	hydrogenation
tellurate 	tellurate
beauté 	beauty
champagne 	champagne
caftan 	kaftan
hypercatalectique 	hypercatalectic
réfraction 	refraction
barmaid 	barmaid
informationnel 	informational
laryngologue 	laryngologist
bretzel 	pretzel
jonction 	junction
georges 	George
faena 	faena
niobium 	niobium
ratiocinatif 	ratiocinative
pyongyang 	Pyongyang
anarcho-syndicalisme 	anarcho-syndicalism
pseudopode 	pseudopod
